<카카오 좌표> 위도/경도
백주념기념관 : 37.642833983307035/127.10528090160582
국제교육관 : 37.64322349388041/127.10546557413087
신학관 : 37.6423008811867/127.10445868842582
스미스관 : 37.64256461908935/127.10423244703988
사무엘관 : 37.64322954325419/127.10372349751437
에덴관 : 37.64305922646987/127.10272899971714
로뎀관 : 37.643176909928926/127.10208898132788
브니엘관 : 37.64360029089598/127.10218303894692
다목적관 : 37.64366943237049/127.10297061746341
살렘관 : 37.64440602274736/127.10292914369208
시온관 : 37.64415260359344/127.10423183320293
음악관 : 37.64366565158367/127.10470704225811
칠십주년기념관 : 37.64397572316407/127.10556861437944
1실습관/창업보육센터 : 37.64437225175103/127.10546153287211
디자인관 : 37.644488754493906/127.10615854340683
실험동물실 : 37.64476348784382/127.1062325850367
목공실습실 : 37.64477220132507/127.10656119265859
온실 : 37.64445220917211/127.10671936702681
아트엔디자인관 : 37.64419146085434/127.10612412797529
중앙도서관 : 37.6431459048178/127.1065843633995
에스라관 : 37.643618510363694/127.10703826642198
제1과학관 : 37.64406006374351/127.10695958468133
제2과학관 : 37.643590950020915/127.10762175740494
식품영약학과 실습실 : 37.64377981985591/127.10799027824285
학생생활상담센터 : 37.643770597185814/127.10822254459205
평생교육원/유치원 : 37.6431218793443/127.10823293408282
제3과학관 : 37.642842168511066/127.10867442072474
뉴스타트센터 : 37.64182838536834/127.10886556107491
다니엘관 : 37.642563695355015/127.1077675723511
요한관 : 37.642270673938604/127.10798809359333
박물관 : 37.642171881642135/127.10764237112055
대학일자리본부/학생회관 : 37.642217461732265/127.10705891710353
체육문화센터 : 37.641361866714746/127.1066837876751
